@relation Public_Health
@attribute Birth_Rate REAL
@attribute General_Fertility_Rate REAL
@attribute Teen_Birth_Rate REAL
@attribute Assault REAL
@attribute Firearm_related REAL
@attribute Infant_Mortality_Rate REAL
@attribute Below_Poverty_Level REAL
@attribute Crowded_Housing REAL
@attribute Dependency REAL
@attribute No_High_School_Diploma REAL
@attribute Per_Capita_Income REAL
@attribute Unemployment REAL
@attribute neighborhood {[2_77],[1_4_13_77],[4_6_77],[3_5_14_77],[4_6_7_16_21],[3_5_7],[5_6_8_22_24],[7_24_28_32],[10],[9_11_12_76],[10_12_15],[11_13_14_15],[2_4_12_14],[4_12_13_16],[11_12_16_17_19],[5_14_15_20_21],[15_18_19_76],[17_19_25],[15_17_18_20_25],[16_19_21_22_23],[5_16_20_22],[7_20_21_23_24],[20_22_24_25_26_27],[7_8_22_23_28],[18_19_23_26],[23_25_27_29],[23_26_28_29],[8_24_27_29_31_32_33],[26_27_28_30],[29_31_56_57_58],[28_30_34_59_60],[8_28_33],[28_32_34_35],[31_33_35_37_60],[33_34_36_38],[35_38_39],[34_38_40_61_68],[35_36_37_39_40],[36_38_41],[37_38_41_42_68_69],[39_40_42],[40_41_43_69],[42_45_46_69],[45_47_49_69_71],[43_44_48_46_69],[43_45_48_52],[44_48_50],[45_46_47_51],[44_50_53_71_73_75],[47_49_51_54],[48_50_52_54_55],[46_51_55],[49_54_75],[50_51_53_55],[51_52_54],[30_57_62_64],[30_56_58_62],[30_57_59_61_63],[31_58_60_61],[31_34_59_61],[37_58_59_60_63_67_68],[56_57_63_65],[58_62_61_66_67],[56_65],[62_64_66_70],[63_65_67_70],[61_63_66_68_71],[37_40_61_67_69_71],[40_42_43_44_45_68_71],[65_66_71_72],[44_67_68_69_70_72_73],[70_71_73_74_75],[49_71_72_75],[72_75],[49_53_72_73_74],[10_17],[1_2_3_4]}
@data
0.838461538,0.976190476,1,0.67140825,0.552669553,0.559241706,0.500857633,0.385057471,0.731988473,0.491039427,0.025741466,0.851955307,[61_63_66_68_71]
0.815384615,0.864583333,0.899653979,0.641536273,0.633477633,0.563981043,0.670668954,0.264367816,0.804034582,0.474910394,0.043979244,0.477653631,[37_40_61_67_69_71]
0.676923077,0.813988095,0.71799308,0.706970128,0.629148629,0.601895735,0.38593482,0.229885057,0.78962536,0.268817204,0.110367808,0.410614525,[40_42_43_44_45_68_71]
0.407692308,0.614583333,0.320069204,0.176386913,0.152958153,0.412322275,0.109777015,0.229885057,0.610951009,0.275985663,0.172241441,0.12849162,[65_66_71_72]
0.438461538,0.636904762,0.707612457,0.53485064,0.455988456,0.668246445,0.367066895,0.224137931,0.766570605,0.297491039,0.095220532,0.558659218,[44_67_68_69_70_72_73]
0.123076923,0.491071429,0.091695502,0.049786629,0.036075036,0.402843602,0.036020583,0.028735632,0.668587896,0.039426523,0.401536348,0.100558659,[70_71_73_74_75]
0.2,0.495535714,0.551038062,0.540540541,0.499278499,0.45971564,0.216123499,0.051724138,0.775216138,0.227598566,0.142112225,0.393854749,[49_71_72_75]
0.238461538,0.46577381,0.055363322,0.031294452,0.092352092,0.085308057,0,0.051724138,0.619596542,0.028673835,0.326677519,0.075418994,[72_75]
0.292307692,0.592261905,0.392733564,0.283072546,0.213564214,0.549763033,0.181818182,0.034482759,0.688760807,0.143369176,0.224474742,0.298882682,[49_53_72_73_74]
0.492307692,0.629464286,0.126297578,0.079658606,0.155844156,0.023696682,0.109777015,0.097701149,0.317002882,0.14516129,0.26538892,0.01396648,[10_17]
0.207692308,0.303571429,0.119377163,0.082503556,0.041847042,0.255924171,0.231560892,0.212643678,0.227665706,0.109318996,0.315778094,0.134078212,[1_2_3_4]
